level,num_qubits,swap_depth,cswap_depth,cswap_count,swap_count,h_count,x_count
1,3,0,0,0,0,2,2
2,9,7,6,6,7,3,6
3,18,9,15,22,13,8,22
4,35,11,25,58,23,13,58
5,68,13,35,134,41,22,134
6,133,15,45,290,75,39,290
7,262,17,55,606,141,72,606
8,519,19,65,1242,271,137,1242
9,1032,21,75,2518,529,266,2518
10,2057,23,85,5074,1043,523,5074
11,4106,25,95,10190,2069,1036,10190
12,8203,27,105,20426,4119,2061,20426
13,16396,29,115,40902,8217,4110,40902
