name,width,qpu_width,two_gate_num,FM_iniDataFlux,RawFMDataFlux,FM_iniLatency,RawFMLatency,FM_iniFidelity,RawFMFidelity,FM_iniQU,RawFMQU,FM_randomDataFlux,FM_randomLatency,FM_randomFidelity,FM_randomQU
QAOA_maxcut_10,10,5,22,0,0,7.7e-06,7.7e-06,0.99526104,0.99526104,0.63672922,0.63672922,0,7.7e-06,0.99526104,0.63672922
qknn_10,10,5,32,6,6,0.00010405,0.00010405,0.9523227,0.96575574,0.61948779,0.30568035,6,0.00010405,0.96575574,0.61425551
qsvm_10,10,5,34,8,4,0.00014035,7.915e-05,0.9615715,0.97708821,0.25514966,0.25067321,4,7.915e-05,0.97708821,0.27119526
ghz_10,10,5,9,2,2,3.515e-05,3.515e-05,0.99023391,0.99023391,0.43397161,0.31029152,1,1.985e-05,0.99420477,0.43397161
QAOA_maxcut_30,30,5,40,14,14,9.735e-05,9.955e-05,0.94486387,0.93733136,0.76496042,0.6314064,14,9.725e-05,0.9298589,0.77471488
QAOA_maxcut_30,30,10,40,6,10,6.675e-05,9.835e-05,0.96782653,0.95245691,0.79050835,0.4901122,6,6.665e-05,0.96011096,0.81660749
QAOA_maxcut_30,30,27,40,0,0,7.75e-06,7.75e-06,0.99134725,0.99134725,0.58636977,0.58636977,0,7.75e-06,0.99134725,0.58636977
qknn_30,30,5,112,42,47,0.00092615,0.00075785,0.81552664,0.80097128,0.20473726,0.1357069,46,0.00071195,0.80257562,0.20473726
qknn_30,30,10,112,35,34,0.00072725,0.00055895,0.84205902,0.84205902,0.22021802,0.14351249,38,0.00063545,0.82868665,0.24212204
qknn_30,30,27,112,23,25,0.00039065,0.00042125,0.88171874,0.87819715,0.24799443,0.14651187,25,0.00039065,0.87819715,0.25312625
qsvm_30,30,5,114,28,40,0.00048835,0.00067195,0.87281891,0.83189321,0.09347174,0.08647683,28,0.00048835,0.87281891,0.09231679
qsvm_30,30,10,114,12,27,0.00024355,0.00047305,0.9305354,0.87631893,0.10134759,0.0877459,12,0.00024355,0.9305354,0.09848213
qsvm_30,30,27,114,4,12,0.00012115,0.00024355,0.96080947,0.9305354,0.10562053,0.08296709,4,0.00012115,0.96080947,0.10295639
