,address,data,fidelity,valid_portion,select
0,00,0000,0.814692398371656,0.6870583559466792,True
146,00,0010,0.6950961675543736,1.0,False
147,00,0011,0.7148110987078407,1.0,False
148,00,0100,0.7118789663804729,1.0,False
149,00,0101,0.7289042575695738,1.0,False
150,00,0110,0.6890282327269058,1.0,False
151,00,0111,0.7012829761187946,1.0,False
152,00,1000,0.6807482639658966,1.0,False
153,00,1001,0.7059486474288763,1.0,False
154,00,1010,0.7071686164015389,1.0,False
155,00,1011,0.7071117884675049,1.0,False
156,00,1100,0.6733719647947577,1.0,False
157,00,1101,0.6818271817674165,1.0,False
158,00,1110,0.7038148332658921,1.0,False
159,00,1111,0.7069005265792209,1.0,False
145,00,0001,0.7151264964815588,1.0,False
144,00,0000,0.7372593069815462,1.0,False
14,00,1110,0.7745078546671745,0.6613626857365904,True
1,00,0001,0.8010503284435543,0.656687517155244,True
2,00,0010,0.7907738682693021,0.677161315200991,True
3,00,0011,0.8058436465895027,0.691791701733336,True
4,00,0100,0.793171579824182,0.6832964908885238,True
5,00,0101,0.8084905872868046,0.6703495980274726,True
15,00,1111,0.7745513445365482,0.6630905335184982,True
6,00,0110,0.7820146658186345,0.6702719572004325,True
7,00,0111,0.7963037015110896,0.6803357081005053,True
8,00,1000,0.7744547281443581,0.6333760457530844,True
9,00,1001,0.7877806621474617,0.6592009773261306,True
10,00,1010,0.7836457367526092,0.6321351472899497,True
11,00,1011,0.7855298640769415,0.6563409055622441,True
12,00,1100,0.7668482421334639,0.6488047525083045,True
13,00,1101,0.7776148199736875,0.662779885843195,True
173,01,1101,0.7214886123054615,1.0,False
160,01,0000,0.7115181242003199,1.0,False
161,01,0001,0.7329118054608483,1.0,False
162,01,0010,0.711242360578491,1.0,False
163,01,0011,0.7107557144520936,1.0,False
164,01,0100,0.715404637556203,1.0,False
165,01,0101,0.6964779915848482,1.0,False
166,01,0110,0.7088364123721174,1.0,False
168,01,1000,0.7033538180391908,1.0,False
169,01,1001,0.7324168257308994,1.0,False
170,01,1010,0.7150023337059841,1.0,False
171,01,1011,0.6941381779438321,1.0,False
