name,qpu_width,mip_num_cuts,mip_subcircuits_num,mip_DataFlux,mip_Latency,mip_Fidelity,mip_min_latency,mip_QU,basic_num_cuts,basic_subcircuits_num,basic_DataFlux,basic_Latency,basic_Fidelity,basic_min_latency,basic_QU,error_num_cuts,error_subcircuits_num,error_DataFlux,error_Latency,error_Fidelity,error_min_latency,error_QU,latency_min_latency,latency_QU,width,depth,two_qubit_gate_num,one_qubit_gate_num,size,qubit_utilizztion,fidelity,latency_all
realamprandom_indep_qiskit_29,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,15.0,1048576,1.4550000000000005e-05,0.6212526540422886,7.500000000000002e-06,0.0120010732850584,202.0,15.0,1048576,1.4550000000000005e-05,0.621250371083308,5.050000000000001e-06,0.0108535396394615,5.050000000000001e-06,0.0108535396394615,29,117,1218,116,1334,0.840926269497698,0.7820796135968501,5.6699999999999894e-05
realamprandom_indep_qiskit_29,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,5.0,1048576,2.5549999999999977e-05,0.69689596838124,6.050000000000001e-06,0.2500898112536177,87.0,5.0,1048576,2.5549999999999977e-05,0.69689596838124,6.050000000000001e-06,0.2500898112536177,6.050000000000001e-06,0.2500898112536177,29,117,1218,116,1334,0.840926269497698,0.7820796135968501,5.6699999999999894e-05
realamprandom_indep_qiskit_32,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,5.0,1048576,2.5549999999999977e-05,0.6522653022226734,1.6550000000000002e-05,0.2587246710564458,96.0,5.0,1048576,2.5549999999999977e-05,0.6522653022226734,1.6550000000000002e-05,0.2587246710564458,1.6550000000000002e-05,0.2587246710564458,32,129,1488,128,1616,0.8424375669428946,0.7406074716339012,6.269999999999988e-05
realamprandom_indep_qiskit_62,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,5.0,1048576,4.854999999999991e-05,0.2496112717489345,3.659999999999995e-05,0.2329283979145415,186.0,5.0,1048576,4.854999999999991e-05,0.2496112717489345,3.659999999999995e-05,0.2329283979145415,3.659999999999995e-05,0.2329283979145415,62,249,5673,248,5921,0.8495308110692734,0.31738609178145066,0.00012269999999999973
realamprandom_indep_qiskit_67,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,5.0,1048576,6.354999999999988e-05,0.2015797486237885,6.050000000000001e-06,0.2055744316759062,201.0,5.0,1048576,6.354999999999988e-05,0.2015797486237885,6.050000000000001e-06,0.2055744316759062,6.050000000000001e-06,0.2055744316759062,67,269,6633,268,6901,0.8500972065895833,0.26115439165862736,0.00013269999999999997
realamprandom_indep_qiskit_8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,12.0,1024,3.5999999999999994e-06,0.9294606243188664,2e-06,0.0910814294948506,49.0,12.0,1024,3.5499999999999995e-06,0.9285312268659548,2.05e-06,0.0751425920853182,2.05e-06,0.0751425920853182,8,33,84,32,116,0.7992530345471521,0.9830076814463166,1.4700000000000005e-05
realamprandom_indep_qiskit_80,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,5.0,1048576,6.354999999999988e-05,0.1080570379345547,4.709999999999992e-05,0.2322974815460617,240.0,5.0,1048576,6.354999999999988e-05,0.1080570379345547,4.709999999999992e-05,0.2322974815460617,4.709999999999992e-05,0.2322974815460617,80,321,9480,320,9800,0.8512392990004888,0.14629842036759244,0.0001587000000000006
realamprandom_nativegates_ibm_qiskit_opt3_15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,46.0,16384,3.9e-06,0.7448854873449776,2e-06,3.4993688218378494e-05,213.0,46.0,16384,3.9e-06,0.7456310856370527,1.6999999999999998e-06,3.676888158860087e-05,1.6999999999999998e-06,3.676888158860087e-05,15,73,315,240,555,0.8299492385786805,0.9365587853214073,2.9299999999999974e-05
realamprandom_nativegates_ibm_qiskit_opt3_15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,9.0,1048576,8.700000000000001e-06,0.85601215575101,4.700000000000002e-06,0.0644992498696698,75.0,9.0,1048576,8.700000000000001e-06,0.85601215575101,4.700000000000002e-06,0.0644992498696698,4.700000000000002e-06,0.0644992498696698,15,73,315,240,555,0.8299492385786805,0.9365587853214073,2.9299999999999974e-05
realamprandom_nativegates_ibm_qiskit_opt3_26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,11.0,1048576,1.4700000000000003e-05,0.687032727627615,7.7e-06,0.0394421540893857,150.0,11.0,1048576,1.4700000000000003e-05,0.687032727627615,7.7e-06,0.0394421540893857,7.7e-06,0.0394421540893857,26,117,975,416,1391,0.8411893900996784,0.8187907677554447,5.1299999999999926e-05
realamprandom_nativegates_ibm_qiskit_opt3_29,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,15.0,1048576,1.4700000000000003e-05,0.6190918728708807,7.500000000000002e-06,0.0120161392613922,202.0,15.0,1048576,1.4700000000000003e-05,0.6190897131485109,5.200000000000002e-06,0.0109681073482312,5.200000000000002e-06,0.0109681073482312,29,129,1218,464,1682,0.8428057309703267,0.7793394558609955,5.729999999999991e-05
realamprandom_nativegates_ibm_qiskit_opt3_29,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,5.0,1048576,2.5699999999999978e-05,0.6944698370302584,6.2000000000000025e-06,0.2547979671904974,87.0,5.0,1048576,2.5699999999999978e-05,0.6944698370302584,6.2000000000000025e-06,0.2547979671904974,6.2000000000000025e-06,0.2547979671904974,29,129,1218,464,1682,0.8428057309703267,0.7793394558609955,5.729999999999991e-05
realamprandom_nativegates_ibm_qiskit_opt3_30,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,15.0,1048576,1.4700000000000003e-05,0.6028538633490552,7.500000000000002e-06,0.0108390450254364,210.0,15.0,1048576,1.4700000000000003e-05,0.6028538633490552,7.500000000000002e-06,0.0108390450254364,7.500000000000002e-06,0.0108390450254364,30,133,1305,480,1785,0.8432741116751267,0.7656849428505632,5.92999999999999e-05
realamprandom_nativegates_ibm_qiskit_opt3_30,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,5.0,1048576,2.5699999999999978e-05,0.6796449308256944,9.7e-06,0.2622452304672784,90.0,5.0,1048576,2.5699999999999978e-05,0.6796449308256944,9.7e-06,0.2622452304672784,9.7e-06,0.2622452304672784,30,133,1305,480,1785,0.8432741116751267,0.7656849428505632,5.92999999999999e-05
realamprandom_nativegates_ibm_qiskit_opt3_32,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,5.0,1048576,2.5699999999999978e-05,0.6497595286608373,1.6700000000000006e-05,0.2605015465913593,96.0,5.0,1048576,2.5699999999999978e-05,0.6497595286608373,1.6700000000000006e-05,0.2605015465913593,1.6700000000000006e-05,0.2605015465913593,32,141,1488,512,2000,0.844124700239808,0.7377421095856014,6.32999999999999e-05
realamprandom_nativegates_ibm_qiskit_opt3_44,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,11.0,1048576,2.5699999999999978e-05,0.4183643694087924,1.3000000000000004e-05,0.0417922781508239,252.0,11.0,1048576,2.5699999999999978e-05,0.4183643694087924,1.3000000000000004e-05,0.0417922781508239,1.3000000000000004e-05,0.0417922781508239,44,189,2838,704,3542,0.8476266336253948,0.5607806806500132,8.729999999999983e-05
realamprandom_nativegates_ibm_qiskit_opt3_56,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,5.0,1048576,4.869999999999992e-05,0.313737036603805,2.02e-05,0.2455812059024299,168.0,5.0,1048576,4.869999999999992e-05,0.313737036603805,2.02e-05,0.2455812059024299,2.02e-05,0.2455812059024299,56,237,4620,896,5516,0.8496439174544189,0.3903080554099645,0.00011129999999999976
routing_nativegates_ibm_qiskit_opt3_6,5,3.0,2.0,4096.0,4.3e-06,0.9841597955994116,4.3e-06,0.5050177273000418,3.0,2.0,64,3.799999999999999e-06,0.9871181384720096,3.299999999999999e-06,0.7370813397129188,3.0,2.0,64,3.799999999999999e-06,0.9871181384720096,3.299999999999999e-06,0.7370813397129188,3.299999999999999e-06,0.7370813397129188,6,25,15,96,111,0.7388059701492534,0.9960464684151616,5.300000000000003e-06
tsp_nativegates_ibm_qiskit_opt3_16,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,12.0,1024,4.900000000000001e-06,0.9229367126642084,6.499999999999999e-07,0.0725105647657978,42.0,12.0,1024,4.850000000000002e-06,0.9247854665764234,2.5999999999999992e-06,0.0828284694132974,2.5999999999999992e-06,0.0828284694132974,16,98,75,516,591,0.5745226560273585,0.9800290922700736,1.5249999999999993e-05
tsp_nativegates_ibm_qiskit_opt3_16,10,10.0,3.0,1024.0,8.000000000000005e-06,0.9548672623869436,6.000000000000004e-06,0.4856462673611108,10.0,3.0,1024,8.700000000000005e-06,0.9548672582736544,6.000000000000004e-06,0.5509338301716347,10.0,3.0,1024,8.700000000000005e-06,0.9548672582736544,6.000000000000004e-06,0.5509338301716347,6.000000000000004e-06,0.5509338301716347,16,98,75,516,591,0.5745226560273585,0.9800290922700736,1.5249999999999993e-05
vqe_indep_qiskit_14,5,6.0,4.0,288.0,2.65e-06,0.9746947265284882,2.15e-06,0.4147582769668921,6.0,4.0,256,2.65e-06,0.9746947265284882,2.15e-06,0.4147582769668921,6.0,4.0,256,2.65e-06,0.9746947265284882,2.15e-06,0.4147582769668921,2.15e-06,0.4147582769668921,14,18,26,42,68,0.41262848751835524,0.994394606547526,7.650000000000001e-06
vqe_indep_qiskit_14,10,2.0,2.0,32.0,4.15e-06,0.9786031340633288,4.15e-06,0.5158903687037304,2.0,2.0,32,5.150000000000001e-06,0.9786031340633288,3.1499999999999995e-06,0.5262392767247135,2.0,2.0,32,5.150000000000001e-06,0.9786031340633288,3.1499999999999995e-06,0.5262392767247135,3.1499999999999995e-06,0.5262392767247135,14,18,26,42,68,0.41262848751835524,0.994394606547526,7.650000000000001e-06
