qpu_width,name,mip_num_cuts,mip_subcircuits_num,mip_DataFlux,mip_Latency,mip_Fidelity,mip_min_latency,mip_QU,basic_num_cuts,basic_subcircuits_num,basic_DataFlux,basic_Latency,basic_Fidelity,basic_min_latency,basic_QU,error_num_cuts,error_subcircuits_num,error_DataFlux,error_Latency,error_Fidelity,error_min_latency,error_QU,latency_num_cuts,latency_subcircuits_num,latency_DataFlux,latency_Latency,latency_Fidelity,latency_min_latency,latency_QU
65,wstate_nativegates_ibm_qiskit_opt3_124,2.0,2.0,32.0,4.210000000000008e-05,0.8330464076419416,3.935000000000007e-05,0.2810468322325136,,,,,,,,,,,,,,,,,,,,,
27,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,,,90.0,5.0,18014398509481984,2.5699999999999978e-05,0.6796449308256944,9.7e-06,0.2622452304672784,,,,,,,,,,,,,,
16,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,,,,,,,,,,210.0,15.0,4294967296,1.4700000000000005e-05,0.6028538633490552,7.500000000000002e-06,0.010839045025436467,,,,,,,
16,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,,,,,,,,,,,,,,,,,210.0,15.0,4294967296,1.4700000000000005e-05,0.6028538633490552,7.500000000000002e-06,0.010839045025436467
16,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,,,210.0,15.0,4294967296,1.4700000000000005e-05,0.6028538633490552,7.500000000000002e-06,0.010839045025436467,,,,,,,,,,,,,,
27,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,,,,,,,,,,,,,,,,,90.0,5.0,18014398509481984,2.5699999999999978e-05,0.6796449308256944,9.7e-06,0.2622452304672784
27,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,,,,,,,,,,90.0,5.0,18014398509481984,2.5699999999999978e-05,0.6796449308256944,9.7e-06,0.2622452304672784,,,,,,,
5,dj_nativegates_ibm_qiskit_opt3_8,,,,,,,,1.0,2.0,8,2.2499999999999996e-06,0.9892732273393317,1.7499999999999998e-06,0.5588571428571427,,,,,,,,,,,,,,
5,dj_nativegates_ibm_qiskit_opt3_8,1.0,2.0,8.0,2.2499999999999996e-06,0.9892732303093189,1.7499999999999998e-06,0.5588571428571427,,,,,,,,,,,,,,,,,,,,,
5,dj_nativegates_ibm_qiskit_opt3_8,,,,,,,,,,,,,,,1.0,2.0,8,2.2499999999999996e-06,0.9892732273393317,1.7499999999999998e-06,0.5588571428571427,,,,,,,
